SNo,Project Name,Scheme Name,PI Details
1,Dual Target Starvation Therapy Mediated Cancer Nano Theranostics,ICMR,Dr. Aravind Kumar Rengan Department of Biomedical Engineering & Engineering Science IITH
2,Flavonoid Encapsulated Liposomes as Inhibitors of Big Four Snake Venom,KIPMR,Dr. Aravind Kumar Rengan Department of Biomedical Engineering & Engineering Science IITH
3,Portable Ultrasound Device for Non- Invasive Therapy of Solid Tumours,BIRAC,Dr. Avinash Eranki Department of Biomedical Engineering IITH
4,Dual Mode Ultrasound for Soft Tissue Sarcoma Therapy,SERB,Dr. Avinash Eranki Department of Biomedical Engineering IITH
5,Development of advanced healthy and diseased in vitro 3D glomerulus model for drug testing and understanding kidney disease mechanisms,,Dr. Falguni Pati Department of Biomedical Engineering IITH
6,Biomimetic hydrogel for the treatment of blinding corneal diseases,,Dr. Falguni Pati Derpartment of Biomedical Engineering IITH
7,Abdul Kalam Technology Innovation National Fellowship (Autologous Platelet-Rich Plasma (PRP) Loaded Personalized Wound Care Patch at Patient Bedside for Effective Burn Wound Care,INAE,Dr. Jyotsnendu Giri Department of Biomedical Engineering IITH
8,Takshashila center for Heritage Science & Technology,,Dr. Kousik Sarathy Sridharan Department of Biomedical Engineering IITH
9,Takshashila Centre for Multidisciplinary Heritage Science & Technology: A Digital Takshashila of Our Times,DST,"Dr. Mohan Raghavan Department of Artificial Intelligence, Biomedical Engineering and Heritage Science & Technology IITH"
10,Computational Biomechanics of Circulating Tumor Cells and Blood Vessel Interactions,SERB,Dr. Mohd Suhail Rizvi Department of Biomedical Engineering and Heritage Science & Technology IITH
11,"ICMR-DHR-CoE, IIT Hyderabad",ICMR,Prof. Renu John Department of Biomedical Engineering IITH
12,"ICMR, MDMS CLIMB Fellowship Program",ICMR,Prof. Renu John Department of Biomedical Engineering IITH
13,Bio-Inspired Nano-Hierarchical Architecture of Fabrication and Maturation of Spheroid-based Tendon-Ligament Tissues by Bio-3D Printer,Indo-JSPS CFP-2020,Prof. Subha Narayan Rath Department of Biomedical Engineering IITH
14,Colloidal Water Remediation,SERB,Dr. Alan Ranjit Jacob Department of Chemical Engineering IITH
15,Multi-Scale Simulations for Design of Particle-Polymer Hybrid Materials,,Dr. Balaji Iyer Vaidyanathan Shantha Department of Chemical Engineering IITH
16,Activated and Patterned Carbon Nanofibers Based Advance Design Configuration for High-Performance Lithium-Ion Batteries and Supercapacitors,TEXTILES,Prof. Chandrasekhar Sharma Department of Chemical Engineering IITH
17,Scaling Up of Electro- Spinning Process for Nanofibers,TEXTILES,Prof. Chandrasekhar Sharma Department of Chemical Engineering IITH
