SNo,Project Name,Scheme Name,PI Details
1,Investigating the impact of pore geometry on the non-liner filtration characteristics in porous media,DST,"Prof. M. K. Singh, Mathematics and Computing"
2,"Regular Subsidence Monitoring Survey of Surda Mining Lease, Kendadih Mining Lease and Rakha Mining Lease for three (03) years",HCL,"Prof. Mohammad Soyeb Alam, Mining Engineering"
3,Crustal Structure and Electrical LAB Beneath Rajmahal Trap and Dalma Volcanics from Magnetotelluric Investigations,MoES,"Prof Arun Singh, Applied Geophysics"
4,To strengthen the research facilities in the Department of Computer Science and Engineering,DST,"Prof. Prasanta K. Jana, Computer Science and Engineering"
5,"Scientific Study on Impact of Iron ore Mining in Hydrological Behavior of Aquifers in Nadidih Iron & Mn. Mines in Tehsil Koira, Dist.: Sundargarh, Odisha of M/s Feegrade & Co. (P) Ltd. and M/s Bonai Industrial Co. Ltd.",Rungta Sons Private Limited,"Prof. Biswajit Paul, Environmental Science & Engineering"
6,Upgradation of Power Hydraulics Lab,DST,"Prof. Kabir Dasgupta, Mechanical Engineering"
7,Augmentation of Research Facility in the Department of Mechanical Engineering,DST,"Prof. Shailendra Narayan Singh, Mechanical Engineering"
8,Thermochemical convection in the Earth's core with thermal core-mantle interaction.,DST,"Prof. Swarandeep Sahoo, Applied Geophysics"
9,CO2 and biomass as feedstock for the production of fuels and chemical intermediates (CO2BioFeed),IGSTC,"Prof. Biswajit Chowdhury, Chemistry"
10,FIST-2019 Project of Department of Electronics Engineering,DST,"Prof. Sushrut Das, Electronics Engineering"
11,"Characterization of Ground water in seismically active regions of Uttarakhand, India: Implications of earthquake induced variations",MoES,"Prof. Tajdarul Hassan Syed, Applied Geology"
12,Design and Development of broadband circularly polarized conformal antenna array for Airborne application,DRDO,"Prof. Ravi Kumar Gangwar, Electronics Engineering"
13,To strengthen the research facilities in the Department of Chemical Engineering,DST,"Prof. Rajiv Shekhar, Fuel, Minerals and Metallurgical  Engineering"
14,"Quality Assessment of Coal for BCCL, Dhanbad",BCCL,"Prof. Anand Anupam, Fuel, Minerals and Metallurgical  Engineering"
15,Study of Dust Suppression Chemical,Tata Steel Limited,"Prof. Alok Sinha, Environmental Science & Engineering"
16,Foam Assisted Oil-Water Nanoemulsion for Enhanced Oil Recovery: Experimental and Molecular Dynamic Simulation Studies,Oil Industry Development Board,"Prof. Ajay Mandal, Petroleum Engineering"
17,To strengthen the research facilities in the Department of Civil Engineering,DST,"Prof. Sarat Kumar Das, Civil Engineering"
18,Linear Spatio-Temporal Receptivity Analysis of Compressible And Mixed Convection Boundary Layer Using Bromwich Contour Integral Method,DST,"Prof. Swagata Bhaumik, Mechanical Engineering"
19,Laser Biospeckle techniques for optimum utilization of irrigation water by monitoring in-situ plant water stress,DST,"Prof. Anil Kumar Nirala, Physics"
20,Prediction of MexB efflux inhibitors: A combined Molecular Dynamics Simulations and Machine Learning Approach,DST,"Prof. Niladri Patra, Chemistry and Chemical Biology"
21,Use of Natural Extracts as Pour Point Depressants for Flow Assurance of Waxy Crude,Oil Industry Development Board,"Prof. Tarun Kumar Naiya, Petroleum Engineering"
22,"Micromechanics based intra and inter-laminar damage models with emphasis on spatial randomness, boundary layer and interface",DST,"Prof. Subhabrata Koley, Mechanical Engineering"
23,Development of Content-Based image filtering approach to prevent objectionable image retrieval from the internet,CSIR,"Prof. Arup Kumar Pal, Computer Science and Engineering"
24,"Improving the quality and yield of salt produced by the marginal agarias of Kutch, Gujarat (Halwad Region) through scientific intervention and improving their income through value addition of bitterns, halophyte plantation and potable water recovery & Arid Region Reclamation Technology with respect to Lignite Mining Areas in Kutch, Gujarat",DST,"Prof. Biswajit Paul, Environmental Science & Engineering"
25,"""Micro Scale investigation of miscibility behaviour of CO2 with crude oil for enhanced oil recovery and its geological sequestration potential in the oil field of Cambay Basin""",DST,"Prof. Ajay Mandal, Petroleum Engineering"
26,Joint Inversion of Gravity and Magnetotelluric Data with variable Density and Conductivity for Enhancement of Subsurface Imaging of the Sedimentary Environments Using Global Optimization Technique,DST,"Prof. Upendra K. Singh, Applied Geophysics"
27,"Joint Inversion of Shear Coupled-PL Waveforms, Receiver Functions and Dispersion Curves",DST,"Prof. Mohit Agrawal, Applied Geophysics"
28,Mine Slope Management and Monitoring System,DST,"Prof. Radhakanta Koner, Mining Engineering"
29,Development of a low cost technology based on biochar supported green zerovalent iron for arsenic and fluoride removal from water,DST,"Prof. Sheeja Jagadevan, Environmental Science & Engineering"
30,Joint modelling of longitudinal and time-to-event data with multiple imputation,CSIR,"Prof. Gajendra Kumar Vishwakarma, Mathematics and Computing"
31,Design and Fabrication of Light-weight Flexible Polarization Independent Broadband RF and Microwave Absorber Based on Active/Passive Anisotropic Metamaterial,CSIR,"Prof. Raghvendra Kumar Chaudhary, Electronics Engineering"
32,"Crustal and lithospheric architecture beneath Dalma Volcanics and Rajmahal Trap, Eastern India",DST,"Prof. Shalivahan, Applied Geophysics"
33,The µth order mehler-fock transform and some allied operators on function spaces,NBHM,"Prof. Akhilesh Prasad, Mathematics and Computing"
34,Earthquake Early Warning detection and classification based on TEC value using Artificial Intelligence,DST,"Prof. Sanjeev Anand Sahu, Mathematics and Computing"
35,Effect of Blasting on Opencast Mine Dump and Development of Relationship between Blast induced Vibration and Dump Design,CIL,"Prof. Rajib Sarkar, Civil Engineering"
36,Design and deployment of Ventilation Fan Wind Power Recovery System as an alternate source of Electrical Energy in Underground Coal Mines,CIL,"Prof. Tanmoy Maity, Mining Machinery Engineering"
37,"Continuous monitoring in the change of ecology of Ananta OCP, MCL",CIL,"Prof. Subodh Kumar Maiti, Environmental Science & Engineering"
38,"Development of Classification, Identification and Feature Extraction Algorithms using Machine Learning and Artificial Intelligence techniques for Genome Classification, Protein Classification and Medical Image Analysis",DST,"Prof. Subhashis Chatterjee, Mathematics and Computing"
39,To develop an Artificial Intelligence (AI) based machine learning solutions to enable prediction of occurrence of fire in Open cast mines extracting locked coal pillars with safety,CIL,"Prof. Haider Banka, Computer Science and Engineering"
40,Delhi Cluster - Delhi Research Implementation and Innovation (DRIIV) Theme: Solid Waste Management,"Office of the Principal Scientific  Adviser, GoI","Prof. Ejaz Ahmad, Chemical Engineering"
41,Control of sprays and thermo-acoustic oscillations through an acoustic driven fuel injector: passive and active control strategy,DST,"Prof. Rabindra Nath Hota, Mechanical Engineering"
42,Investigating Uncharted 2D Catalytic Materials for Lignocellulosic Biomass Transformation into High-Value Platform Chemicals and Fuel,DST,"Prof. Ejaz Ahmad, Chemical Engineering"
43,Accurate Correlation of Dot Size Distribution with the Spectral Response of AS-grown and Interdiffused Stacked Quantum Dots embedded in p-i-n Solar Cells,DST,"Prof. Subindu Kumar, Electronics Engineering"
44,Corrosion potential of industrial waste as a geomaterial using inverse dielectric spectroscopy,DST,"Prof. Sarat Kumar Das, Civil Engineering"
45,Assessment of the change detection due to mining activities of SAIL-RMD mines through preparation of High Resolution Satellite map obtained from fusion of CARTOSAT-2 and LISS- IV datasets at a scale of cadastral map and preparation of LULC maps of high-resolution satellite image,SAIL,"Prof. Vasanta Govind Kumar Villuri, Mining Engineering"
46,Optimization of Distribution Network of Crystal Ceramic Industries Private Limited,Crystal Ceramic Industries Private  Limited,"Prof. Krishnendu Shaw, Management Studies"
47,Cow dung derived hybrid adsorbent for heavy metal removal and its subsequent utilization as cheaper electrodes for energy storage devices,DST,"Prof. Brijesh Kumar Mishra, Environmental Science & Engineering"
48,Low cost treatment method for fluoride and Arsenic contaminated ground water,Ministry of Drinking Water and  Sanitation,"Prof. Brijesh Kumar Mishra, Environmental Science & Engineering"
49,Structural and machinery failure analyses through Vibration and Acoustic techniques,Advanced Engineering Diagnostics  Solutions,"Prof. Madan Lal Chandravanshi, Mechanical Engineering"
50,"Development of molecular catalysts for co2 reduction, water oxidation and reduction",CSIR,"Prof. Sumanta Kumar Padhi, Chemistry and Chemical Biology"
51,Cloud based Smart Video Surveillance System with Application Layer Cyber Physical Systems Security,IIT Kanpur,"Prof. Arup Kumar Pal, Computer Science and Engineering"
52,Sampling and quality assessment of 1.70 Lakh Tons of Rejects of lying between gate of 5.0 MTPA Patherdih NLW Washery and to south side of Kaccha road to Siding at 5.0 MTPA Patherdih NLW Washery,BCCL,"Prof. Shalini Gautam, Fuel, Minerals and Metallurgical Engineering"
53,"Sampling, analysis and grading of 106805.21 MT in H-14 & 169911.38 MT in H-15 heap of Reject at Patherdih Coal Washery",BCCL,"Prof. Shravan Kumar, Fuel, Minerals and Metallurgical  Engineering"
54,Multiscale simulation of weld solidification cracking in Ni-based superalloys used in aerospace applications,ISRO,"Prof. Rahul M R, Fuel, Minerals and Metallurgical  Engineering"
55,Application of Two-Chamber Reactors for Safe Carbonylation Reactions: Affordable Synthesis of Stable Isotope Labelled Drug Standards,Department of Atomic Energy,"Prof. Parthasarathi Das, Chemistry and Chemical Biology"
56,Tunneling or Propping? Shareholders Decision on Related Party Transaction: Evidence from a Quasi Natural Experiment,SEBI,"Prof. Shashank Bansal, Management Studies"
57,Design and development of knee and spinal smart protective devices for improving the health and safety of,CIL,"Prof. Kalyan Kumar Singh, Mechanical Engineering"
58,"Scientific study regarding controlled blast design, ground vibration monitoring, and fragmentation assessment during blasting at navi mumbai international airport",Smartchem Technologies Limited,"Prof. Arvind Kumar Mishra, Mining Engineering"
59,Alkylthiocyanates as New Bifunctional Reagents in Photo-Redox Reactions: Ambident Reactivity Enabling Photo-Cascade Synthesis of Diverse S- and N-Heterocycles from Olefins,DST,"Prof. Soumitra Maity, Chemistry and Chemical Biology"
60,Investigation of single-particle structures in pygmy resonances in nuclei and development of a gamma-neutron detector for its study,DST,"Prof. Soumya Bagchi, Physics"
61,Assessing tsunami vulnerability of low-rise structures by SPH modelling'',DST,"Prof. Sukanta Chakraborty, Civil Engineering"
62,Development Of Highly Accurate Immersed Interface Method For Direct Numerical Simulation Of Fluid-Structure Interaction Problems Under Compressible Flow Regime,DST,"Prof. Swagata Bhaumik, Mechanical Engg."
63,Investigation of the human retinal vasculature for early prognosis of microaneurysm regions,DST,"Prof. Ajay Bhandari, Mechanical Engineering"
64,Evaluation of an evaporating nanofluid meniscus for improved performance of Heat Pipes,DST,"Prof. Pawan Kumar Singh, Mechanical Engineering"
65,To strengthen the research facilities in the Department of Mining Engineering,DST,"Prof. Rabin, Prof.a Kumar Sinha, Mining Engineering"
66,On the reductions of aerofoil-turbulence noise through wavy leading and trailing edge serrations,DST,"Prof. Subramanian Narayan, Mechanical Engineering"
67,Separation and recovery of fine particles from coal washery effluents using bio-coagulant,CIL,"Prof. Sukha Ranjan Samadder, Environmental Science & Engineering"
68,Development of guidelines for delineation of water stressed area and designing of environmental friendly water storage structure for meeting the water needs in mining areas,CIL,"Prof. Prasoon Kumar Singh, Environmental Science & Engineering"
69,Investigation of the spall behavior of glass-filled epoxy composites using laser spallation technique,DST,"Prof. Sarthak Sambit Singh, Mechanical Engineering"
70,"Analysis of CO, CO2, CH4 and its homologues; measurement for the presence of above gases and their potential danger/harmful effects on human; Random analysis of ambient air quality and analysis of water quality for the mine discharge water in Sijua Area of BCCL",BCCL,"Prof. Manish Kumar Jain, Environmental Science & Engineering"
71,Linear Canonical Transform and associated Wavelets and Wavelet Transform,DST,"Prof. Akhilesh Prasad, Mathematics and Computing"
72,Numerical study of unsteady entropy generation and MHD combined convection in lid- driven porous enclosure,DST,"Prof. Pentyala Srinivasa Rao, Mathematics and Computing"
73,Study of Multi-time Control Problem Governed by Curvilinear Integral Cost Functional with Applications,DST,"Prof. Anurag Jayswal, Mathematics and Computing"
74,Investigating the optimal electricity generation mix for India using a fuzzy portfolio optimization approach,DST,"Prof. Mohd. Irfan, Management Studies"
75,To strengthen the research facilities in the Department of Applied Geology,DST,"Prof. Shushanta Sarangi, Applied Geology"
76,Real-time energy efficient cyber-physical intelligent system for mine slope health monitoring,CIL,"Prof. Radhakanta Koner, Mining Engineering"
77,Critical investigation on alloy stainless steel bi metallic joining using friction stir welding for aerospace application,DRDO,"Prof. Somnath Chattopadhyaya, Mechanical Engineering"
