SNo,Project Name,Scheme Name,PI Details
1,New Generation Innovation and Entrepreneurship Development Centre (NewGen IEDC),"Innovation, Technology Development and Deployment","Dr.Ramabadran Ganesh Narayanan, Dept. of Mechanical Engineering"
2,Setting- up Rural Technology Action Group - North East (RuTAG-NE),RuTAG,"Prof. S. K. Kakoty, School of Agro and Rural Technology"
3,Implementation of the AICTE funded Solar and Water projects in the AICTE approved Institutes of the North-East region of India,,"Prof. Sharad B. Gokhale, Dept. of Civil Engineering"
4,Scheme for Financial Assistance for Setting up of Electronics and ICT Academics,Scheme for Financial Assistance for setting up Electronics and ICT Academies,"Dr. Gaurav Trivedy, Dept. of EEE"
5,"Support to TePP Outreach cum Cluster Innovation Centre (TOCIC) at Indian Institute of Technology Guwahati under Promoting Innovations in Individuals, Start-ups and MSMEs (PRISM) scheme of DSIR",Industrial Research and Development,"Dr. Sukhomay Paul, Dept. of Mechanical Engineering"
6,Establishment of Research Parks under the ‘Start-up India Initiative in Higher Educational Institutions (SIIHEI),National Initiative for Technology Transfer,"Professor-In-charge, IIT Guwahati Research Park"
7,"To design, develop and disseminate the modified bicycle as a rural vending cart",Innovation Technology Development and Deployment,"Prof. S. K. Kakoty, School of Agro and Rural Technology"
8,Space Technology Cell IIT Guwahati,Space Science Promotion,"Prof. Subashisa Dutta, Professor-in-charge, STC IIT Guwahati"
9,Smart Transformer enabled hybrid grid for efficient and green data centers.,,"Dr. Chandan Kumar, Dept. of EEE"
10,Origami inspired three - phase auxetic metamaterial composite for developing orthotic insole and performance studies using gait and motion analysis,,"Prof. S. Kanagaraj, Dept. of Mechanical Engineering"
11,Intel Center for Excellence on FPGA and Embedded Electronics Systems (Intel Fame Labs),,"Prof. Gurav Trivedi, Dept. of EEE"
12,Performance Evaluation and standardization of a canister-based methanol cook-stove for household application,,"Prof. P. Muthukumar, Dept. of Mechanical Engineering"
13,Design of a cervical bone fixture and testing of an atlantoaxial joint,,"Prof. S. Kanagaraj, Dept. of Mechanical Engineering"
14,Recycling of Fiber (Carbon & Glass) reinforced Plymer Composites,,"Dr. Pankaj Tiwari, Dept. of Chemical Engineering"
15,Quantification of information Leakage and Security Verification of compiler Optimizations,,"Dr. Chandan Karfa, Dept. of CSE"
16,Development of training cum production unit of bell metal items,,"Prof. Sashindra Kumar Kakoty, School of Agro and Rural Technology"
17,"PETROGRAPHIC AND OTHER RELATED STUDIES OF SILT OF RANGANADI RESERVOIR, NEEPCO",,"Prof. Mihir Kumar Purkait, Centre for the Environment"
18,Machine Learning based output prediction of RTL model for faster simulation based verification,,"Dr. Chandan Karfa, Dept. of CSE"
19,"Affordable portable multi Diagnostic device for detection of 5 Biomarkers Albumin, Cholesterol, Uric Acid, Triglyceride & Glucose",Small Business Innovation Research Initiative (SBIRI),"Prof. Dipankar Bandypadhyay, Centre for Nanotechnology"
20,Technology for Underwater Exploration,,"Prof. Santosha Kumar Dwivedy, Centre for Intelligent Cyber Physical Systems"
21,Enabling Hardware Accelerator Design from Behavioral Specifications,,"Dr. Chandan Karfa, Dept. of CSE"
22,Development of Sustainable Lightweight 3D Printable Cementitious Composites for Modular Construction,,"Dr. Indu Siva Ranjani Gandhi, Dept. of Civil Engineering"
