SNo,Project Name,Scheme Name,PI Details
1,Expansion of Technology Incubation & Development of Entrepreneurs,TIDE,Dr Nitin Auluck
2,,British Council Project Grant,
3,PDIF-PTU-Prototype Development & Innovation,PDIF,Dr Nitin Auluck
4,Study of non-vanishing and transcendence results of some L-functions,NBHM-DAE,Dr. Tapas Chatterjee
5,FIST Program,DST,Department of Electrical Engineering
6,Award of Young Faculty Research Fellowship,Digital India Corporation (Formaly Media Lab Asia),Dr. Rohit Y. Sharma
7,Shanti Swarup Bhatnagar Award,CSIR,Prof. Javed Naim Agrewala
8,Designing and validating a minimally invasive point of care device providing rapid total leukocyte count (TLC) at patient bedside,DST (Collaborative with PGIMER and CSIO Chandigarh),Dr. Deepti R Bathula
9,DST (FIST Program),DST,Department of Chemistry
10,DST (FIST Program),DST,Department of Mathematics
11,Development of Compressed Hydrogen- Fuel Cell Integrated System for Light Duty Vehicles,DST-TMD,"Dr. S. S.Padhee (Lead Co PI) Dr. Dhiraj Kumar Mahajan Co-PI, Dr. Ravi Mohan Prasad Co-PI"
12,3D bioprinted engineered-tissue model for analysis of osteoarthritic disorders in human using unconventional imaging tools,DBT-Ramalingaswami Fellowship,Dr. Rajesh Kumar
13,Polymer-Derived Ceramic Membranes for High Temperature Hydrogen Purification,DAE-YSRA (Young Scientist Research Award),Dr. Ravi Mohan Prasad
14,Innovative Curriculum Design and Delivery Systems for Mechanical Engineering,Industrial Consultancy,"Dr. Jitendra Prasad (CI) and Dr. Anshu Dhar Jayal, Dr. Rakesh K. Maurya and Dr. Satwinder Jit Singh (SJS)"
15,Development of Sensor based system for online monitoring of river water quality of Punjab,Industrial Consultancy,Dr. Suman Kumar and Dr. Narinder Singh
16,Model Development for clinician to predict the bone and soft tissue strength and quality for type 2 Diabetic patients,STARS,Dr. Navin Kumar
17,High speed impact Dynamic and Deformation analysis of Target projectile system using 3D-DIC Technique,DRDO-CARS,Dr. Navin Kumar
18,FIST Program,DST,Department of Physics
19,Development and Validation of Indigenous Kit for Detection of Food Spoilage,DST-SYST,Dr. Gagandeep Singh under the mentorship of Dr. Narinder Singh
20,Slope Monitoring and Landslide Hazard Quantification for Hilly Roads,NHAI,"Dr. Naveen James PI, Dr. Reet Kamal Tiwari and Dr. C. K. Narayanan"
