SNo,Project Name,Scheme Name,PI Details
1,DST-INSPIRE Fellow,DST,Dr. Bratindranath Mukherji
2,Development of Microfluidic tools for neuromuscular synaptogenesis and nanotoxicological studies,DST,Dr. Sanjeev Kumar Mahto
3,Development and evaluation of an innovative poly herbal Bi layer wound dressing material,DRDO,Dr. Pradeep Srivastava
4,DST/INSPIRE Faculty Award (IFA-12-PH-21),DST,Dr. S.K. Singh
5,IFA-12-Ph-22 DST/INSPIRE FACULTY Award/2012 INPIRE FACULTY AWARD,DST,Dr. Sunil Kumar Mishra
6,"Study of Magnetosphere Wave-Particle interaction, Aurora, Airglow and Conductivities on Planets and their Satellites",ISRO,Dr. D. Giri
7,Study of tool wear in Diamond turn Machining & Micro Machining Process,BARC Mumbai,Prof. Sandeep Kumar
8,Development of Sheet Hydro-forming Process for missile Components,"Defence Research & Development Lab (DRDL), Hyderbad",Prof. Santosh Kumar
9,Technology and Fabrication of Table top CNC Machine for Micro-Tubular Hydro forming Setup,"BARC, Mumbai",Prof. Santosh Kumar
10,Assessment of residual stress upon friction stir welding of steel,SERB,Dr. Mohd. Zaheer Khan Yusufzai
11,Cognitive Linguistic study of perception verbs in Hindi and English: In the context of machine translation,DST (CSRI),Dr. Swasti Mishra
12,Development & evaluation of nanocarrier for enhanced anti-microbial activity of anarchic acid against human and plant pathogens,DST,Dr. Sanjay Singh
13,Centre for Energy and Resources Development,MHRD FAST Scheme,Dr. S.K. Shukla
14,J.C. Bose Fellowship,SERB,Prof. Dhananjay Pandey
15,Evaluation and Optimisation of Biodiesel Production from Microalgae,DST,Prof. Yogesh Chandra Sharma
16,"Electromagnetic Analysis, Design and simulation of an X-band Gyro-Twystron Amplifier",SERB,Dr. M. Thottappan
17,NOx Removal from Diesel Exhaust by combined NOx storage Reduction and NH3 SCR System,SERB,Dr. Sweta
18,Development of Electropulsing Facility for Synthesis of Bulk Nanostructured Materials,B.R.N.S.,Dr. Rampada Manna
19,Development & Evaluation of Infrared Nanoparticles for Cellular-wide sensitive E-field Mapping,DST Nano Mission,Dr. Manoj Kumar
20,Pyrolysis of Biomass for the Production of Bio-oil: Experimental and Computational Study,DST,Dr. J.P. Chakraborty
21,Observations and Modelling of solar transients & space weather candidates,SERB,Dr. Abhishek Kr. Srivastava
22,Polymeric Nanobiohybrids for Tissue Engineering and Drug Delivery,SERB,Prof. Pralay Maiti
23,Development of a Rubber based sheet Hydro forming setup,"DRDL,  CARS Hyderabad",Prof. Santosh Kumar
24,Evaluation of some compounds in experimental Alzheimer Disease,"Natreon Inc., U.S.A.",Dr. Sairam Krishnamurthy
25,Design Investigations of High Power MM Wave W Band Gyratron,"DRDO, CARS, Bengaluru",Prof. P.K. Jain
26,Development of high Thorough put Processing route for CIGS PV absorber films by spray pyrolysis of Pre-synthesised Nanoparticle Ink,SERB,Dr. M.I. Ahmad
27,"Development of low voltage, low power, colloidal quantum dot light-emitting transistors for next generation display technology",SERB,Dr. Bhola Nath Pal
28,Pharmacological Effect of novel formulation in experimental allergic encephalomyelitis rodent model,DISTO Pharmaceutics,Dr. Sairam Krishnamurthy
29,Fabrication of low-cost High-through out Flow Cytometer using tunable nanolenses.,"DST, New Delhi",Dr. AnkurVerma
30,Development of solution methods for Abel’s integral equations and generalized Abel’s integral equation,"DAE, Mumbai",Dr.Rajesh Kr. Pandey
31,On characterizing and Obtaining the Complete Efficient Solution Set of an Interval Optimization Problem under a D-Dominance and a variable Dominance Structure,"SERB, New Delhi",Dr. Debdas Ghosh
32,“Design and development of miniaturized pattern/frequency reconfigurable MIMO antennas and its performance improvement using artificial electromagnetic material”,"SERB, New Delhi",Dr. Manoj Kr. Meshram
33,DST-INSPIRE Faculty Award (IFA-13 PH 54) understanding structure and dynamics of the Interstellar medium,"DST, New Delhi",Dr. Prasun Duttta
34,Characterization and validation of Schlieren Technique for Capturing Shock Wave,DRDO. New Delhi,Dr. Amitesh Kumar
35,Combined effect of dynamic electrical stimulation and surface charge on cellular functionality of electrovector and piezoelectrically toughened bioceramics,SERB,Dr. Ashutosh Kr. Dubey
36,Development of Polymer and Quantum Dots Blended Tandem Solar Cells Using Low Cost Solution Processed Method,SERB,Prof. Satyabrata Jit
37,Development of an energy –efficient wireless sensor networks for precision agriculture,DST,Dr. H.P. Gupta
38,Development and structural characterization of Bi2-xMx3+(y-3)/2 coating for protection against coolant & sensors,UGC DAE-CSR,Dr. JoysuryaBasu
39,Development of portable electrochemical sensor hydrogen peroxide,BRNS Mumbai,Dr. P.C.Pandey
