SNo,Project Name,Scheme Name,PI Details
1.0,Circuits for expansion of analog pulse signals and its application to on-chip inductor characterization,SERB-CRG,Prof Naveen Kadayinti(EECE)
2.0,Speech to Speech Translation for Tribal Languages using Deep Learning Framework,MeitY-STS,Prof S R M Prasanna(EECE)
3.0,Mechanistic Investigation and potential bioltechnological applications of promysalin biosynthesis: A promising hybrid NRPS-PKS derived broad-spectrum Antibiotic,CSIR-EMR,Dr Nilkamal Mahanta(CHEM)
4.0,The algebra and geometry of Hilbert functions,SERB-CRG,Dr. Shreedevi Kalyani Masuti (MATHS)
5.0,Iron and steel slags: A Sustainable Alternative for Railway Sub-ballast Layer of Track Bed,SERB CRG,Giridhar R Bande (CIE)
6.0,To investigate and Resolve Privacy issues in 5G and Beyond Network,SERB-VRITIKA,Dr. Siba Narayan Swain (CSE)
7.0,Microstructure Evolution and Mechanical Behavior During Electric Assisted Forming in HCP matirials,SERB-SRG,Dr. Rakesh Lingam (MMAE)
8.0,"Design Validation and Performance Analysis of the Antenna Power Supply Unit (lnput of 3 phase 115V, 400H2 and O/P of 28V DC) for Airborne Platform",DRDO,Dr. Satish Naik Banavath (EEC)
9.0,"Applications of Autonomous Navigation for Industry, Power and Fire Safety with Study of Ethical and Legal Aspects",TiHAN HYD,Dr Ameer Mulla(EECE)
10.0,"NeuroOpt4Dev: AI/ML applications on Heterogeneous Hardware Systems - Performance, Security Analysis and Optimizations in a Developing Region Context",SERB-POWER,Dr Gayathri Ananthanarayanan(CSE)
11.0,Centre for depression diagnosis and medication adherence,DBT,Prof S R M Prasanna(EECE)
12.0,Suspension of Pre-heated Particles and their Interactions in non-Newtonian Fluids for Industrial Processes,SERB-CRG,Dr Dhiraj V Patil (MMAE)
13.0,Fake Speech Detection using deep learning Framework,MEITY CSRD-FSD,Prof S R M Prasanna(EECE)
14.0,Federated Deep Learning for Caching in 5G and Beyond Networks,SERB-CRG,Dr Bharath BN(EECE)
15.0,Detection of Cyber Attacks in Wide Area Damping Control in Smart Grid,SERB-CRG,Dr Pratyasa Bhui(EECE)
16.0,Federated Learning: Bounds and Guarantees,SERB-MATRICS,Dr Bharath BN(EECE)
17.0,Oriented chromatic and clique number of planar graphs,SERB-MATRICS,Dr Sagnik Sen (MATHS)
18.0,An assembly for creating programmable Shape Memory Alloys (SMA) for the process of 4D printing,SERB TETRA,Dr Somashekara MA (MMAE)
19.0,Educational Content Translation to Tribal Language,IITB (TIH-IoT and IoE),Dr S R M Prasanna(EECE)
20.0,A study and adaption of ancient Indian alloy processing and metallurgical technologies for self-healing and gradient structure applications,IKS-AICTE-RFP 2,Dr Somashekara MA (MMAE)
21.0,"Development of EcoFriendly Ancient Indian clay, ceramic idols/potters of traditional importance by extrusion based 3D printing",IKS-AICTE-RFP 1,Dr Somashekara MA (MMAE)
22.0,Powering the Ultra-Low Power Wireless System/IoT node by Scavenging Multi Band Radio Frequency (RF) Energy,SERB CRG,Dr Saroj Mondal(EECE)
23.0,Speech Technologies in Indian Languages,MEITY-NLTM,Dr S R M Prasanna(EECE)
24.0,Cyber Physical Modelling and Detection of Cyber Attacks in a Wide Area Damping Controller (WADC) for Smart Grids,CPRI,Dr Pratyasa Bhui(EECE)
25.0,Studying the evolution of mechanical twinning and their interaction with dislocation slip in Mg alloys using experimentally informed discrete twinning crystal plasticity model,SERB-SRG,Dr. Satyapriya gupta (MMAE)
26.0,Multiport Quantum Communication with Relativistic Quantum Particles,SERB-CRG,Dr. R Prabhu (PHY)
27.0,"Drop impact on a solid surface: Dynamics of Splashing, Spreading and Bouncing",SERB-SRG,Dr. Hiranya deka (MMAE)
