SNo,Project Name,Scheme Name,PI Details
1,Experimental Agromet Advisory Service Unit,"Gramin Krishi Mausam Sewa, New Delhi",Prof. G.S. Randhawa & New PI
2,Joint R&D Centre on sustainable civil infrastructure,"NBCC, New Delhi",Prof. Anupam Chakrabarti (New Coordinator for IIT Roorkee)
3,Central Sector Scheme for Massive Online Open Courses (MOOCs) Compliant e-content creation – regarding (NPTEL Phase IV),MHRD,Prof. Priti Maheshwari
4,Setting up Centre for Railway Research (CRR),"RDSO, LUCKNOW",Prof. S.P. Harsha
5,Earthquake Early Warning Project,"USDMA, Dehradun",Prof. Ashok Kumar
6,IPR Chair,MHRD,Prof. Rajat Agrawal
7,In Vitro Cell based Characterization at some Synthetic drugs for anti-cancer /other activities,"Michigan diagnostics, Michigan, USA",Prof. Partha Roy
8,Virtual Labs Phase-III,"MHRD, new delhi",Prof. R. S Anand
9,DIC Ph.D Fellowship,MHRD,Prof. Sanjeev Manas
10,DIC Ph.D Fellowship,MHRD,Prof. Rajat Agarwal
11,DIC Ph.D Fellowship,MHRD,Prof. Apurbba Kumar sharma
12,Physico-chemical and biological characterization of novel materials for renewable and sustainable applications,(BEST) Pvt. Ltd.,Prof. Maruthi Krishna Mohan Poluri
13,INSPIRE Faculty award,"DST, New Delhi",Prof. Anish Karmakar
14,Google Gist : Funding for research in the field of multi agent planning,Google ireland,Prof. Rajdeep Niyogi
15,INSPIRE Faculty award Programe,"DST, New Delhi",Prof. Debidas Kundu
16,INSPIRE Faculty award Programe,"DST, New Delhi",Prof. Kirtiraj Kundlik Gaikwad
17,water for change integrotive and fit for purpose water sensitive design framework for fast growing livable cities,"DST, New Delhi",Prof. M.L Kansal
18,Effect of Synthetic jet on Heat Transfer augmentation for electronics cooling,"CSIR, NEW DELHI",Prof. Sushanta Dutta
19,INSPIRE Faculty Award,"DST, New Delhi",prof. vishvendra singh poonia
20,Experimental and numerical evaluation of double containment structures of indian PHWR against Hard Missile Impact due to external event.,"DST, New Delhi",Prof. Mohd. Ashraf Iqbal
21,INSPIRE Faculty Fellowship transferred from CSIR-CSIO Chandigarh,"DST, New Delhi",Prof. S.K. Srivastava
22,INSPIRE Faculty Award,"DST, New Delhi",Prof. Venkatesh V
23,"""Core-IT - A1 : characterizing on road experience of commuters for intelligent transportation using artificial intelligence techniques""",INTEL TECHNOLOGY INDIA PVT. LTD,Prof. Durga Toshniwal
24,Rejuvenation of dying springs in Tokoli Gad catchment of Tehri Garhwal district using Geo-chemical & Geo - physical Techniques,"MOWR, New Delhi",Prof. Abhayanad Singh Maurya
25,INSPIRE Faculty Award,"DST, New Delhi",prof. V.A. Baheti
26,RAP Incorporated Geopolymer concrete technology,IITR,Prof. G.D. Ransinchung R.N.
27,Probing the molecular orientation and charge transfer dynamics at interfaces for the design and fabrication of more efficient optoelectronics devices,STAR,prof. Ravindra pandey
28,Impacts of recent EI - Nino Southern oscillation (ENSO) on the water - food- energy nexus in south asia.,"swedish research council, Sweden",Prof. Kasiviswanathan KS
29,Photonic metasurfaces for enhanced IR absorption and its applications for sensing and heat absorbing windows,STAR,Prof. Sachin kumar Srivastava
30,SARASWATI 2.0 Identifying best availbale technologies for decentralized wastewater treatment and resource recovery for india,"DST, New Delhi",Prof. A.A.Kazmi
31,3D Bio-stereolithography for engineering functional tissues,"SERB, New Delhi",Prof. Debrupa Lahiri
32,Improvisation of air pollution control devices,Continental carbon India ltd. Ghaziabad,Prof. Shishir Sinha
33,"Setting up of space technology cell (stc) at indian institute of technology , Roorkee","ISRO, Bengaluru","Prof. S.H. Upadhyay  , Coordinator"
34,Novel Processing to enhance duality of cast AZ91 Mg alloy,"ISRO, Bengaluru",Prof. Vivek Pancholi
35,Development of oxide dispersion strengthened (ODS) Nickel based super alloys by powder forging,"ISRO, Bengaluru",Prof. Vikram Vasant Dabhade
36,An efficient aquifer storage method for enhanced recovery of recharged freshwater in saline regions,"DST, New Delhi",Prof. Brijesh kumar Yadav
37,Development of ultra high speed optical diagnostic methodology based upon modern high speed framing camera system,"TBRL -DRDO, Chandigarh",Prof. Andallib Tariq
38,Value addition of wood and wood based composites using nanomaterials,"ICFRE, Dehradun",Prof. Y.S.Negi  Prof. Gaurav Manik (NEW PI)
39,"""Thermoelectric transport in presence of time-dependent perturbations "" under women scientist scheme 'A' (Wos-A)","DST, New Delhi",Prof. Debashree Chowdhury
40,Inspire Faculty Award,"DST, New Delhi",Prof. B.V.V.S. Pavan kumar
41,Comparing the disparate impacts of oak and chir pine tree spices on their local hydrological and hydroclimatic regimes in the west-central Himalays,MHRD-STARS,Prof. Sumit Sen (Co-P.I.)
42,Different energy vector integration for storage of energy (DEVISE),"DST, New Delhi",Prof. Vishal Kumar
43,Advanced oxidation process for complete attenuation of pathogens and antimicrobial resistance in municipality supplied ground water,"DST, New Delhi",Prof. Gargi Singh
44,Geological geophysical investigation and design and development of cyber- physical-system for early detection of landslide,"DST, New Delhi",Prof. Sarada Prasad Pradhan
45,"Thermo - mechanical characteristics of interstital - substitutional high entropy CoCrFe MnNi (C,N) alloy","SERB, new delhi",Prof. Vivek Pancholi
46,Halting the release of antimicrobial resistance,"SERB, new delhi",Prof. Gargi Singh
47,INSPIRE FACULTY AWARD,"DST, New Delhi",Dr. Piyush Srivastava (P.I.)  Prof. Mahua Mukherjee (Mentor)
48,Multiphase Analysis of Inclusion Transport and removal in continuous casting products with use of electromagnetic stirrer,"SERB, new delhi",Prof. Pradeep Kumar Jha
49,Design and Development of MIMO based microwave Imaging system for target detection and identification behind the wall,"Ministry of electronics & information Technology, New Delhi",Prof. Dharmendra Singh
